Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,"Healthcare setting, outpatient or emergency room",,123,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Decedent's home,,460,,0,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Hospice facility,,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Nursing home/long term care facility,36,398,22,,,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Other,,187,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Total - All Places of Death,79,"1,662",117,24,15,187,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,"Healthcare setting, inpatient",35,521,86,19,12,114,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,"Healthcare setting, outpatient or emergency room",,88,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Decedent's home,,460,11,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Hospice facility,,45,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Nursing home/long term care facility,21,365,13,,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Other,,181,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Total - All Places of Death,49,"1,475",94,18,,128,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,"Healthcare setting, inpatient",24,437,64,13,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,"Healthcare setting, outpatient or emergency room",0,68,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Decedent's home,,384,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Hospice facility,,41,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Nursing home/long term care facility,18,373,21,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Other,,168,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Total - All Places of Death,66,"1,631",109,16,,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,"Healthcare setting, inpatient",28,504,82,14,0,96,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,"Healthcare setting, outpatient or emergency room",,89,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Decedent's home,,430,,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Hospice facility,0,51,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Nursing home/long term care facility,24,388,14,0,0,38,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Other,,166,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Total - All Places of Death,58,"1,572",120,19,,160,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,"Healthcare setting, inpatient",23,467,85,14,0,94,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,"Healthcare setting, outpatient or emergency room",,79,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Decedent's home,,428,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Hospice facility,,37,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Nursing home/long term care facility,21,383,19,,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Other,,172,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Total - All Places of Death,33,"1,395",90,,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,"Healthcare setting, inpatient",11,428,61,,0,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,"Healthcare setting, outpatient or emergency room",,61,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Decedent's home,,410,10,0,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Hospice facility,0,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Nursing home/long term care facility,13,302,12,0,0,25,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Other,,148,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Total - All Places of Death,,374,23,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,"Healthcare setting, inpatient",0,106,13,0,0,13,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,"Healthcare setting, outpatient or emergency room",0,16,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Decedent's home,,102,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Hospice facility,,18,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Nursing home/long term care facility,,109,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Other,,22,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Total - All Places of Death,0,"2,482",166,0,19,185,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,"Healthcare setting, inpatient",0,777,135,0,12,147,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,"Healthcare setting, outpatient or emergency room",0,215,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Decedent's home,0,858,11,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Hospice facility,0,243,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Nursing home/long term care facility,0,283,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Other,0,104,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Total - All Places of Death,0,"2,273",144,0,18,162,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,"Healthcare setting, inpatient",0,757,114,0,11,125,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,"Healthcare setting, outpatient or emergency room",0,204,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Decedent's home,0,684,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Hospice facility,0,229,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Nursing home/long term care facility,0,307,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Other,0,92,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Place of death unknown,0,0,0,0,0,0,
